min post release, degrees from east, mph
14.493800, 330.956022, 2.555183
14.577100, 334.799848, 2.389944
14.660400, 348.559615, 2.144090
14.743700, 347.286000, 1.957123
14.827000, 346.017008, 1.868551
14.910300, 343.073819, 1.672542
14.993600, 337.854562, 1.617002
15.076900, 332.266185, 1.692174
15.160200, 309.543607, 1.463973
15.243500, 324.232623, 1.804506
15.326800, 309.899753, 1.758112
15.410100, 317.266882, 1.904700
15.493400, 295.374636, 2.297804
15.576700, 298.744008, 1.826428
15.660000, 320.502522, 1.807047
15.743300, 294.665187, 1.885163
15.826600, 294.023077, 1.366787
15.909900, 306.614922, 1.692692
15.993200, 325.304620, 2.414543
16.076500, 344.554211, 3.480481
16.159800, 325.628455, 3.333151
16.243100, 320.696627, 3.713589
16.326400, 323.409981, 3.381828
16.409700, 329.873027, 2.899223
16.493000, 317.360263, 3.558189
16.576300, 343.698254, 3.580910
16.659600, 348.424867, 2.644992
16.742900, 353.328043, 2.200782
16.826200, 358.118099, 1.778213
16.909500, 359.268358, 1.500732
16.992800, 351.347797, 1.937651
17.076100, 322.556588, 3.132516
17.159400, 319.679238, 3.573115
17.242700, 322.273717, 3.589921
17.326000, 322.661969, 3.206274
17.409300, 324.983441, 2.847619
17.492600, 332.980086, 2.536697
17.575900, 335.030621, 2.500020
17.659200, 336.896282, 2.333962
17.742500, 340.906461, 2.534630
17.825800, 343.900203, 2.250415
17.909100, 331.802297, 2.320935
17.992400, 325.456335, 2.577830
18.075700, 335.480579, 2.481034
18.159000, 340.569517, 1.989111
18.242300, 355.812024, 1.552698
18.325600, 358.102014, 1.549548
18.408900, 342.412793, 1.720492
18.492200, 348.177067, 1.604312
18.575500, 357.858150, 1.781608
18.658800, 8.056381, 1.921616
18.742100, 10.608122, 1.476011
18.825400, 17.397789, 1.766592
18.908700, 11.290610, 2.670272
18.992000, 1.581810, 2.946008
19.075300, 351.732658, 2.839016
19.158600, 331.405436, 2.519403
19.241900, 334.766769, 2.350640
19.325200, 314.569867, 2.365086
19.408500, 297.813671, 2.316426
19.491800, 298.424211, 2.216467
19.575100, 296.744248, 2.272695
19.658400, 291.844304, 2.238882
19.741700, 311.453446, 3.133979
19.825000, 318.206833, 3.754032
19.908300, 327.345418, 4.116308
19.991600, 337.477801, 5.015332
20.074900, 331.953701, 4.416890
20.158200, 327.890264, 3.616660
20.241500, 330.068224, 3.280232
20.324800, 323.086198, 2.746090
20.408100, 318.518189, 3.477640
20.491400, 328.715380, 3.829896
20.574700, 331.360118, 3.968438
20.658000, 333.832157, 3.533741
20.741300, 339.254191, 3.408978
20.824600, 336.679872, 3.652573
20.907900, 346.899721, 3.633748
20.991200, 353.515535, 3.433249
21.074500, 343.080601, 4.089830
21.157800, 320.477039, 3.964874
21.241100, 323.170739, 3.222114
21.324400, 309.604873, 2.994791
21.407700, 303.740652, 3.275625
21.491000, 309.768926, 3.475667
21.574300, 311.639851, 4.095283
21.657600, 307.307993, 4.020538
21.740900, 305.963178, 3.920678
21.824200, 301.067411, 3.679018
21.907500, 295.726665, 3.613151
21.990800, 297.034093, 3.336710
22.074100, 299.425299, 2.867059
22.157400, 293.096956, 2.579830
22.240700, 284.201980, 2.338996
22.324000, 272.128582, 2.112666
22.407300, 272.389464, 2.141241
22.490600, 290.586054, 2.489165
22.573900, 298.129517, 2.193299
22.657200, 302.460874, 2.097610
22.740500, 308.378231, 2.263002
22.823800, 322.358988, 2.928598
22.907100, 317.772710, 2.790959
22.990400, 329.780761, 2.271002
23.073700, 324.678640, 2.271579
23.157000, 325.800111, 2.997982
23.240300, 343.139534, 2.679164
23.323600, 350.568665, 2.453137
23.406900, 336.479618, 2.379792
23.490200, 327.986697, 2.187303
23.573500, 335.785302, 2.729106
23.656800, 316.869458, 2.917278
23.740100, 317.646404, 2.966910
23.823400, 303.865888, 2.802429
23.906700, 303.069904, 2.968073
23.990000, 313.146037, 2.865293
24.073300, 324.923096, 4.193766
24.156600, 330.078277, 3.932169
24.239900, 331.514878, 3.643046
24.323200, 330.022477, 4.114767
24.406500, 320.013316, 3.610049
24.489800, 318.555818, 3.148567
24.573100, 320.592326, 2.963162
24.656400, 313.679573, 2.653165
24.739700, 312.645959, 2.514658
24.823000, 305.490672, 2.974380
24.906300, 316.552807, 3.314234
24.989600, 325.029458, 3.234198
25.072900, 328.275328, 2.847499
25.156200, 333.468216, 2.485642
25.239500, 322.600983, 2.515501
25.322800, 309.120585, 2.507315
25.406100, 301.319511, 3.079188
25.489400, 310.756692, 2.985314
25.572700, 308.584048, 2.826656
25.656000, 292.816983, 2.394776
25.739300, 291.486522, 1.785192
25.822600, 294.077881, 1.752664
25.905900, 293.879679, 1.867457
25.989200, 287.368408, 1.647323
26.072500, 284.049454, 1.740658
26.155800, 298.418631, 1.787464
26.239100, 301.946825, 2.019193
26.322400, 296.933782, 1.810429
26.405700, 330.422716, 2.300642
26.489000, 340.997712, 2.449460
26.572300, 337.603577, 2.226035
26.655600, 349.388104, 1.811368
26.738900, 336.338031, 1.969013
26.822200, 325.406268, 2.133261
26.905500, 326.389257, 2.209900
26.988800, 329.550713, 2.115857
27.072100, 329.878843, 1.863433
27.155400, 341.016902, 1.597129
27.238700, 345.125969, 1.510981
27.322000, 316.844211, 1.551820
